"","ID","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title","symbol"
"GTPBP6","203314_at",0.1627144,0.0184,-2.61,-3.40443,-0.50984187,"GTPBP6","GTP binding protein 6 (putative)","GTPBP6"
"DNAJC12","223721_s_at",0.1627144,0.0184,-2.61,-3.40472,-1.14991326,"DNAJC12","DnaJ heat shock protein family (Hsp40) member C12","DNAJC12"
"SMARCC2","201321_s_at",0.1627144,0.0184,2.61,-3.40495,0.39682472,"SMARCC2","SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2","SMARCC2"
"BRD8","202227_s_at",0.1627144,0.0185,2.61,-3.40513,0.37292819,"BRD8","bromodomain containing 8","BRD8"
"NMI","203964_at",0.1627144,0.0185,2.61,-3.40517,0.46510502,"NMI","N-myc and STAT interactor","NMI"
"METTL21A","235931_at",0.162864,0.0185,-2.61,-3.40631,-1.33699744,"METTL21A","methyltransferase like 21A","METTL21A"
"TECPR1","227581_at",0.162864,0.0185,-2.61,-3.40645,-0.4156102,"TECPR1","tectonin beta-propeller repeat containing 1","TECPR1"
"TMEM231","64900_at",0.1628915,0.0185,2.61,-3.40675,0.70522073,"TMEM231","transmembrane protein 231","TMEM231"
"MYDGF","216483_s_at",0.1628915,0.0185,-2.61,-3.40689,-0.69717296,"MYDGF","myeloid derived growth factor","MYDGF"
"ACTR3BP2","224424_x_at",0.162904,0.0185,2.61,-3.40711,0.99178048,"ACTR3BP2///ACTR3BP5","ACTR3B pseudogene 2///ACTR3B pseudogene 5","ACTR3BP2"
"PSMB7","244801_at",0.1629834,0.0185,-2.61,-3.4077,-0.81449874,"PSMB7","proteasome subunit beta 7","PSMB7"
"DDX54","219111_s_at",0.1629957,0.0185,-2.61,-3.40792,-0.50556274,"DDX54","DEAD-box helicase 54","DDX54"
"DGKQ","207562_at",0.1630169,0.0185,2.61,-3.4083,1.14899349,"DGKQ","diacylglycerol kinase theta","DGKQ"
"THOP1","203235_at",0.1630169,0.0185,-2.61,-3.40856,-1.22134697,"THOP1","thimet oligopeptidase 1","THOP1"
"CAMTA1","213268_at",0.1630169,0.0185,2.61,-3.40857,0.50137973,"CAMTA1","calmodulin binding transcription activator 1","CAMTA1"
"AEN","219361_s_at",0.1630169,0.0185,-2.61,-3.40862,-1.07162578,"AEN","apoptosis enhancing nuclease","AEN"
"RBMS2","34187_at",0.1632047,0.0185,2.61,-3.40997,0.4887143,"RBMS2","RNA binding motif single stranded interacting protein 2","RBMS2"
"PIH2","234426_x_at",0.1632419,0.0186,2.61,-3.41032,1.7560099,"PIH2","pregnancy-induced hypertension syndrome-related protein","PIH2"
"P3H2","230813_at",0.1634171,0.0186,2.61,-3.41144,0.45688463,"P3H2","prolyl 3-hydroxylase 2","P3H2"
"MAP3K3","243505_at",0.1635254,0.0186,-2.61,-3.41249,-1.25220837,"MAP3K3","mitogen-activated protein kinase kinase kinase 3","MAP3K3"
"UQCRB","205849_s_at",0.1635386,0.0186,-2.61,-3.41271,-0.32689863,"UQCRB","ubiquinol-cytochrome c reductase binding protein","UQCRB"
"ANGEL1","213099_at",0.1635582,0.0186,-2.6,-3.41333,-0.54983275,"ANGEL1","angel homolog 1","ANGEL1"
"UBE2S","202779_s_at",0.1635582,0.0186,-2.6,-3.4135,-0.53452291,"UBE2S","ubiquitin conjugating enzyme E2 S","UBE2S"
"TMPO","224944_at",0.1635582,0.0186,2.6,-3.41362,0.47895729,"TMPO","thymopoietin","TMPO"
"TMEM214","217899_at",0.1635582,0.0186,-2.6,-3.41362,-0.4780264,"TMEM214","transmembrane protein 214","TMEM214"
"CAMKV","219365_s_at",0.1635582,0.0186,2.6,-3.41369,0.57380773,"CAMKV","CaM kinase like vesicle associated","CAMKV"
"LY6E","202145_at",0.1635712,0.0186,2.6,-3.41391,0.99916074,"LY6E","lymphocyte antigen 6 complex, locus E","LY6E"
"TTC39A","210652_s_at",0.1635804,0.0186,-2.6,-3.41411,-0.61244774,"TTC39A","tetratricopeptide repeat domain 39A","TTC39A"
"ADAM21","207665_at",0.1635827,0.0186,2.6,-3.41427,0.72329464,"ADAM21","ADAM metallopeptidase domain 21","ADAM21"
"TRA2A","213593_s_at",0.1637803,0.0187,-2.6,-3.41604,-0.56010132,"TRA2A","transformer 2 alpha homolog","TRA2A"
"NHLH1","214628_at",0.1637803,0.0187,2.6,-3.41611,0.61082008,"NHLH1","nescient helix-loop-helix 1","NHLH1"
"ST3GAL3","1555703_at",0.1638047,0.0187,2.6,-3.41663,0.78713274,"ST3GAL3","ST3 beta-galactoside alpha-2,3-sialyltransferase 3","ST3GAL3"
"NCOA5","234471_s_at",0.1638047,0.0187,-2.6,-3.41668,-0.84761455,"NCOA5","nuclear receptor coactivator 5","NCOA5"
"JMJD1C-AS1","1552665_at",0.1638301,0.0187,2.6,-3.41711,0.6872433,"JMJD1C-AS1","JMJD1C antisense RNA 1","JMJD1C-AS1"
"ADAMTSL3","213974_at",0.1638365,0.0187,2.6,-3.41733,0.92441881,"ADAMTSL3","ADAMTS like 3","ADAMTSL3"
"ADAM23","1559268_at",0.1638365,0.0187,2.6,-3.41771,0.48487212,"ADAM23","ADAM metallopeptidase domain 23","ADAM23"
"RPN2","213491_x_at",0.1638365,0.0187,-2.6,-3.41778,-0.47801685,"RPN2","ribophorin II","RPN2"
"HNRNPD","227744_s_at",0.1638365,0.0187,2.6,-3.41799,0.79056815,"HNRNPD","heterogeneous nuclear ribonucleoprotein D","HNRNPD"
"ACADVL","200710_at",0.1638365,0.0187,-2.6,-3.41802,-0.52191469,"ACADVL","acyl-CoA dehydrogenase, very long chain","ACADVL"
"ZNF417","1558253_x_at",0.1638365,0.0187,-2.6,-3.41802,-0.66649636,"ZNF417///ZNF587","zinc finger protein 417///zinc finger protein 587","ZNF417"
"ALDH1A3","1558649_at",0.163871,0.0187,2.6,-3.4185,1.10231449,"ALDH1A3","aldehyde dehydrogenase 1 family member A3","ALDH1A3"
"TMED8","232913_at",0.1639959,0.0187,2.6,-3.41949,1.18657907,"TMED8","transmembrane p24 trafficking protein family member 8","TMED8"
"U2AF1","231904_at",0.1640697,0.0188,-2.6,-3.42005,-0.61738946,"U2AF1","U2 small nuclear RNA auxiliary factor 1","U2AF1"
"NOP14","214661_s_at",0.1641278,0.0188,-2.6,-3.42051,-0.67543892,"NOP14","NOP14 nucleolar protein","NOP14"
"TNR","1564897_at",0.1641803,0.0188,-2.6,-3.42141,-1.43763772,"TNR","tenascin R","TNR"
"RNF145","239899_at",0.1641803,0.0188,2.6,-3.4215,0.94372045,"RNF145","ring finger protein 145","RNF145"
"GK3P","215966_x_at",0.1642495,0.0188,-2.6,-3.42213,-0.75502799,"GK3P","glycerol kinase 3 pseudogene","GK3P"
"BCL7B","202518_at",0.1642495,0.0188,-2.6,-3.42221,-0.41964768,"BCL7B","BCL tumor suppressor 7B","BCL7B"
"UBE3A","213291_s_at",0.1642506,0.0188,-2.6,-3.42236,-0.37826556,"UBE3A","ubiquitin protein ligase E3A","UBE3A"
"LOC105377371","1559102_at",0.1643435,0.0188,2.6,-3.42312,0.71595081,"LOC105377371","uncharacterized LOC105377371","LOC105377371"
"PIAS2","238700_at",0.1643435,0.0188,2.6,-3.42317,0.47984048,"PIAS2","protein inhibitor of activated STAT 2","PIAS2"
"NXPE3","235030_at",0.164466,0.0188,2.6,-3.42399,0.71627522,"NXPE3","neurexophilin and PC-esterase domain family member 3","NXPE3"
"C3orf33","1554176_a_at",0.1644781,0.0188,2.6,-3.42435,0.60779399,"C3orf33","chromosome 3 open reading frame 33","C3orf33"
"SNAP25","202508_s_at",0.164496,0.0188,2.6,-3.42459,1.09309913,"SNAP25","synaptosome associated protein 25","SNAP25"
"LOC102723648","1561110_at",0.1646017,0.0189,2.6,-3.42533,2.55754696,"LOC102723648","uncharacterized LOC102723648","LOC102723648"
"SEC23A","204344_s_at",0.1647303,0.0189,-2.6,-3.42633,-0.58800547,"SEC23A","Sec23 homolog A, coat complex II component","SEC23A"
"LMNB2","216952_s_at",0.1647729,0.0189,-2.6,-3.42685,-0.62796078,"LMNB2","lamin B2","LMNB2"
"APOA1","231694_at",0.1648917,0.0189,-2.6,-3.42766,-1.08777112,"APOA1","apolipoprotein A1","APOA1"
"CENPBD1","1552330_at",0.165087,0.0189,2.6,-3.42902,0.39502627,"CENPBD1","CENPB DNA-binding domain containing 1","CENPBD1"
"MORN5","229976_at",0.1651962,0.019,2.6,-3.42977,0.52440376,"MORN5","MORN repeat containing 5","MORN5"
"GRK5","1569949_at",0.1652803,0.019,-2.6,-3.43053,-0.44816502,"GRK5","G protein-coupled receptor kinase 5","GRK5"
"GPR173","244877_at",0.1653354,0.019,2.6,-3.43098,0.95327685,"GPR173","G protein-coupled receptor 173","GPR173"
"CC2D1A","222137_at",0.1653354,0.019,2.6,-3.43112,1.35711184,"CC2D1A","coiled-coil and C2 domain containing 1A","CC2D1A"
"FAM83C","1556793_a_at",0.1654204,0.019,2.6,-3.43173,1.04789067,"FAM83C","family with sequence similarity 83 member C","FAM83C"
"LOC101928047","1559131_a_at",0.1654979,0.019,2.59,-3.4323,0.50831097,"LOC101928047","uncharacterized LOC101928047","LOC101928047"
"U2AF2","229508_at",0.1655753,0.019,-2.59,-3.43325,-0.51568203,"U2AF2","U2 small nuclear RNA auxiliary factor 2","U2AF2"
"UBE2J1","217824_at",0.1655753,0.019,-2.59,-3.43384,-0.68630186,"UBE2J1","ubiquitin conjugating enzyme E2 J1","UBE2J1"
"C10orf88","222852_at",0.1655753,0.019,2.59,-3.43394,0.48378064,"C10orf88","chromosome 10 open reading frame 88","C10orf88"
"ATG4D","226871_s_at",0.1655753,0.019,-2.59,-3.43421,-0.46481818,"ATG4D","autophagy related 4D cysteine peptidase","ATG4D"
"ABCA4","210082_at",0.1655753,0.0191,2.59,-3.43441,0.74189611,"ABCA4","ATP binding cassette subfamily A member 4","ABCA4"
"RASD1","223467_at",0.1655753,0.0191,2.59,-3.43488,1.38362385,"RASD1","ras related dexamethasone induced 1","RASD1"
"BIRC5","210334_x_at",0.1655753,0.0191,-2.59,-3.4349,-0.68796664,"BIRC5","baculoviral IAP repeat containing 5","BIRC5"
"ITPRIPL1","240037_at",0.1655787,0.0191,-2.59,-3.43521,-0.61252335,"ITPRIPL1","inositol 1,4,5-trisphosphate receptor interacting protein-like 1","ITPRIPL1"
"MTHFD2L","238762_at",0.1656996,0.0191,2.59,-3.43631,0.3798322,"MTHFD2L","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like","MTHFD2L"
"SUGT1","223330_s_at",0.165727,0.0191,2.59,-3.4366,0.52894039,"SUGT1","SGT1 homolog, MIS12 kinetochore complex assembly cochaperone","SUGT1"
"MTBP","1563614_at",0.1658408,0.0191,2.59,-3.43765,1.16379989,"MTBP","MDM2 binding protein","MTBP"
"PZP","207330_at",0.1658408,0.0191,2.59,-3.43774,0.44819551,"PZP","PZP, alpha-2-macroglobulin like","PZP"
"TESK1","204106_at",0.1658408,0.0191,-2.59,-3.43815,-0.50217923,"TESK1","testis-specific kinase 1","TESK1"
"TSSK6","224409_s_at",0.1658408,0.0191,2.59,-3.43841,0.93505616,"TSSK6","testis specific serine kinase 6","TSSK6"
"SLC8A1-AS1","1558920_at",0.1658408,0.0191,-2.59,-3.43864,-0.75181882,"SLC8A1-AS1","SLC8A1 antisense RNA 1","SLC8A1-AS1"
"C17orf64","1555985_at",0.1658408,0.0191,2.59,-3.43867,0.69619936,"C17orf64","chromosome 17 open reading frame 64","C17orf64"
"MIR4680","202730_s_at",0.1658916,0.0192,2.59,-3.4391,0.63077589,"MIR4680///PDCD4","microRNA 4680///programmed cell death 4 (neoplastic transformation inhibitor)","MIR4680"
"CRLS1","237502_at",0.1659656,0.0192,-2.59,-3.43994,-1.33424083,"CRLS1","cardiolipin synthase 1","CRLS1"
"LINC00936","238893_at",0.1659919,0.0192,2.59,-3.44041,0.71165941,"LINC00936","long intergenic non-protein coding RNA 936","LINC00936"
"PTRHD1","226243_at",0.1659919,0.0192,2.59,-3.44042,0.58523386,"PTRHD1","peptidyl-tRNA hydrolase domain containing 1","PTRHD1"
"TPT1-AS1","226407_at",0.1659919,0.0192,-2.59,-3.44051,-1.18417016,"TPT1-AS1","TPT1 antisense RNA 1","TPT1-AS1"
"ADGB","220614_s_at",0.1660142,0.0192,2.59,-3.44078,0.85751704,"ADGB","androglobin","ADGB"
"LINC00619","1560851_at",0.166053,0.0192,2.59,-3.44114,0.73758438,"LINC00619","long intergenic non-protein coding RNA 619","LINC00619"
"THRA","35846_at",0.1662514,0.0192,2.59,-3.44251,0.52269603,"THRA","thyroid hormone receptor, alpha","THRA"
"LOC101927508","1563162_at",0.1663345,0.0192,2.59,-3.44325,0.98907152,"LOC101927508","uncharacterized LOC101927508","LOC101927508"
"LOC100505942","230548_at",0.1663463,0.0192,-2.59,-3.44356,-0.59904974,"LOC100505942","uncharacterized LOC100505942","LOC100505942"
"ISOC2","218893_at",0.1663463,0.0192,-2.59,-3.44361,-0.46400483,"ISOC2","isochorismatase domain containing 2","ISOC2"
"SLC46A3","214719_at",0.1663561,0.0193,2.59,-3.44401,0.66145922,"SLC46A3","solute carrier family 46 member 3","SLC46A3"
"FAM218A","1553711_a_at",0.1665308,0.0193,2.59,-3.44527,0.54265053,"FAM218A","family with sequence similarity 218 member A","FAM218A"
"LOC100133039","1560141_at",0.1665308,0.0193,-2.59,-3.44534,-0.52312989,"LOC100133039","uncharacterized LOC100133039","LOC100133039"
"DISC1","1563744_a_at",0.1665597,0.0193,-2.59,-3.44584,-0.74648256,"DISC1","disrupted in schizophrenia 1","DISC1"
"SLC38A1","224579_at",0.1665597,0.0193,-2.59,-3.44604,-0.6587056,"SLC38A1","solute carrier family 38 member 1","SLC38A1"
"RCAN2","203498_at",0.1665597,0.0193,-2.59,-3.4462,-0.45254522,"RCAN2","regulator of calcineurin 2","RCAN2"
"EVL","217838_s_at",0.1665597,0.0193,2.59,-3.44621,0.47902285,"EVL","Enah/Vasp-like","EVL"
"PPP1R3B","1552669_at",0.1667682,0.0193,-2.59,-3.44764,-0.80362958,"PPP1R3B","protein phosphatase 1 regulatory subunit 3B","PPP1R3B"
"IGK","221651_x_at",0.1668127,0.0193,2.59,-3.44805,1.87042061,"IGK///IGKC","immunoglobulin kappa locus///immunoglobulin kappa constant","IGK"
"GJA9-MYCBP","221415_s_at",0.1668127,0.0193,-2.59,-3.44817,-0.84636664,"GJA9-MYCBP///GJA9///MYCBP","GJA9-MYCBP readthrough///gap junction protein alpha 9///MYC binding protein","GJA9-MYCBP"
"RPE65","207107_at",0.1668504,0.0194,2.59,-3.44852,0.97978299,"RPE65","RPE65, retinoid isomerohydrolase","RPE65"
"SCNN1B","205464_at",0.1668527,0.0194,2.59,-3.44867,1.11572047,"SCNN1B","sodium channel epithelial 1 beta subunit","SCNN1B"
"MT1X","204326_x_at",0.1669466,0.0194,-2.59,-3.44933,-0.89657897,"MT1X","metallothionein 1X","MT1X"
"ARHGAP24","230802_at",0.166951,0.0194,2.59,-3.4495,1.18683986,"ARHGAP24","Rho GTPase activating protein 24","ARHGAP24"
"SLC35E3","218988_at",0.1669554,0.0194,2.59,-3.44979,0.68865425,"SLC35E3","solute carrier family 35 member E3","SLC35E3"
"MOBP","210193_at",0.1669554,0.0194,-2.59,-3.45001,-0.64804425,"MOBP","myelin-associated oligodendrocyte basic protein","MOBP"
"ANKFN1","244095_at",0.1669554,0.0194,2.59,-3.45043,0.89762998,"ANKFN1","ankyrin repeat and fibronectin type III domain containing 1","ANKFN1"
"TFPI","214378_at",0.1669554,0.0194,2.59,-3.45052,0.49137949,"TFPI","tissue factor pathway inhibitor","TFPI"
"PCYOX1L","218953_s_at",0.1670015,0.0194,2.58,-3.45095,0.72402057,"PCYOX1L","prenylcysteine oxidase 1 like","PCYOX1L"
"NEO1","225270_at",0.1670015,0.0194,2.58,-3.45106,0.5570835,"NEO1","neogenin 1","NEO1"
"WDR13","238782_at",0.1670132,0.0194,-2.58,-3.45127,-0.48226634,"WDR13","WD repeat domain 13","WDR13"
"NECAP2","220731_s_at",0.1670408,0.0194,2.58,-3.45206,0.51320266,"NECAP2","NECAP endocytosis associated 2","NECAP2"
"SSBP1","1562442_a_at",0.1670408,0.0194,-2.58,-3.4523,-0.91570379,"SSBP1","single stranded DNA binding protein 1","SSBP1"
"DSG2-AS1","1556835_s_at",0.1670408,0.0194,2.58,-3.45236,0.5798368,"DSG2-AS1","DSG2 antisense RNA 1","DSG2-AS1"
"COQ10B","1561948_at",0.1670408,0.0194,2.58,-3.45242,1.12516407,"COQ10B","coenzyme Q10B","COQ10B"
"AGR2","228969_at",0.1672597,0.0195,2.58,-3.4539,1.39672055,"AGR2","anterior gradient 2, protein disulphide isomerase family member","AGR2"
"NAB1","209272_at",0.1672661,0.0195,2.58,-3.45408,0.54333621,"NAB1","NGFI-A binding protein 1","NAB1"
"CBX5","226085_at",0.167342,0.0195,-2.58,-3.45478,-0.73810547,"CBX5","chromobox 5","CBX5"
"TSPAN31","203227_s_at",0.1673428,0.0195,2.58,-3.45506,0.39650456,"TSPAN31","tetraspanin 31","TSPAN31"
"OPN3","224392_s_at",0.1673428,0.0195,-2.58,-3.45507,-0.69219088,"OPN3","opsin 3","OPN3"
"BTN2A1","215493_x_at",0.1673475,0.0195,-2.58,-3.45524,-0.39275598,"BTN2A1","butyrophilin subfamily 2 member A1","BTN2A1"
"HMGA1","206074_s_at",0.1674111,0.0195,-2.58,-3.45584,-0.84678804,"HMGA1","high mobility group AT-hook 1","HMGA1"
"CLPTM1L","223020_at",0.1674195,0.0195,-2.58,-3.45606,-0.56519369,"CLPTM1L","CLPTM1 like","CLPTM1L"
"FLNB","208613_s_at",0.1676311,0.0196,-2.58,-3.45792,-0.79616098,"FLNB","filamin B","FLNB"
"CCDC60","1554117_at",0.1676481,0.0196,2.58,-3.45815,1.10430563,"CCDC60","coiled-coil domain containing 60","CCDC60"
"BFSP1","206746_at",0.1677076,0.0196,2.58,-3.45862,1.04157626,"BFSP1","beaded filament structural protein 1","BFSP1"
"VPS33B","218415_at",0.1677362,0.0196,-2.58,-3.45912,-0.69332252,"VPS33B","VPS33B, late endosome and lysosome associated","VPS33B"
"PRND","222106_at",0.1677362,0.0196,2.58,-3.45922,1.23045752,"PRND","prion protein 2 (dublet)","PRND"
"NUP37","218622_at",0.1677362,0.0196,2.58,-3.45935,0.43207438,"NUP37","nucleoporin 37","NUP37"
"ITGB1","216190_x_at",0.1677638,0.0196,-2.58,-3.45988,-0.75212393,"ITGB1","integrin subunit beta 1","ITGB1"
"LINC00927","1566526_at",0.1677638,0.0196,2.58,-3.46009,0.83122342,"LINC00927","long intergenic non-protein coding RNA 927","LINC00927"
"SLC23A2","211572_s_at",0.1677638,0.0196,2.58,-3.46019,0.49512579,"SLC23A2","solute carrier family 23 member 2","SLC23A2"
"GIPC2","236548_at",0.1677638,0.0196,2.58,-3.46021,0.57102061,"GIPC2","GIPC PDZ domain containing family member 2","GIPC2"
"KCNE5","220010_at",0.1678541,0.0196,2.58,-3.46084,0.65362921,"KCNE5","potassium voltage-gated channel subfamily E regulatory subunit 5","KCNE5"
"MYL9","244149_at",0.1679723,0.0196,-2.58,-3.46194,-0.73935585,"MYL9","myosin light chain 9","MYL9"
"AXL","202686_s_at",0.1680407,0.0197,-2.58,-3.46256,-0.48192971,"AXL","AXL receptor tyrosine kinase","AXL"
"LOC100506016","1556289_at",0.1680879,0.0197,2.58,-3.46325,1.45531984,"LOC100506016","uncharacterized LOC100506016","LOC100506016"
"CYP2J2","205073_at",0.1680879,0.0197,2.58,-3.46328,0.71829239,"CYP2J2","cytochrome P450 family 2 subfamily J member 2","CYP2J2"
"UBBP1","217144_at",0.1680879,0.0197,2.58,-3.46336,0.38442347,"UBBP1","ubiquitin B pseudogene 1","UBBP1"
"PALM2-AKAP2","202760_s_at",0.1680926,0.0197,-2.58,-3.46367,-0.71071326,"PALM2-AKAP2///AKAP2","PALM2-AKAP2 readthrough///A-kinase anchoring protein 2","PALM2-AKAP2"
"TRAF7","223031_s_at",0.1681438,0.0197,-2.58,-3.46483,-0.41748318,"TRAF7","TNF receptor associated factor 7","TRAF7"
"TPSAB1","215382_x_at",0.1681438,0.0197,2.58,-3.46513,1.37193173,"TPSAB1","tryptase alpha/beta 1","TPSAB1"
"NBEAL1","1554106_at",0.1681438,0.0197,-2.58,-3.46535,-0.49604991,"NBEAL1","neurobeachin like 1","NBEAL1"
"ALB","214842_s_at",0.1681438,0.0197,2.58,-3.46538,1.52015324,"ALB","albumin","ALB"
"DHX36","1559039_at",0.1681438,0.0197,-2.58,-3.4654,-1.00498161,"DHX36","DEAH-box helicase 36","DHX36"
"SH2D3C","1552667_a_at",0.1682445,0.0197,2.58,-3.46637,0.52229156,"SH2D3C","SH2 domain containing 3C","SH2D3C"
"OR51B4","234469_at",0.1684397,0.0198,2.58,-3.46756,0.87260652,"OR51B4","olfactory receptor family 51 subfamily B member 4","OR51B4"
"LINC00334","1552876_at",0.1685156,0.0198,-2.58,-3.4684,-1.01609292,"LINC00334","long intergenic non-protein coding RNA 334","LINC00334"
"TFCP2L1","219735_s_at",0.1685793,0.0198,-2.58,-3.46903,-0.91455755,"TFCP2L1","transcription factor CP2-like 1","TFCP2L1"
"GABRP","205044_at",0.1686101,0.0198,2.57,-3.4694,1.3779608,"GABRP","gamma-aminobutyric acid type A receptor pi subunit","GABRP"
"LOC100507387","1563845_at",0.1686101,0.0198,-2.57,-3.46954,-1.45828085,"LOC100507387///FAM153A///FAM153B","uncharacterized LOC100507387///family with sequence similarity 153 member A///family with sequence similarity 153 member B","LOC100507387"
"ITGA3","201474_s_at",0.1686101,0.0198,-2.57,-3.46964,-0.97164459,"ITGA3","integrin subunit alpha 3","ITGA3"
"ELK1","203617_x_at",0.1686215,0.0198,2.57,-3.46996,0.64450753,"ELK1","ELK1, ETS transcription factor","ELK1"
"GRK2","201401_s_at",0.1688326,0.0198,-2.57,-3.47144,-0.48210326,"GRK2","G protein-coupled receptor kinase 2","GRK2"
"ACTR3B","1555487_a_at",0.1688326,0.0199,-2.57,-3.47176,-0.54737504,"ACTR3B","ARP3 actin related protein 3 homolog B","ACTR3B"
"POU2F1","244006_at",0.1688326,0.0199,2.57,-3.47227,0.96421721,"POU2F1","POU class 2 homeobox 1","POU2F1"
"MYT1L","210016_at",0.1688326,0.0199,2.57,-3.47246,1.37929218,"MYT1L","myelin transcription factor 1 like","MYT1L"
"ZNF608","232303_at",0.1688326,0.0199,-2.57,-3.47255,-0.91019359,"ZNF608","zinc finger protein 608","ZNF608"
"POFUT2","207449_s_at",0.1688326,0.0199,-2.57,-3.47288,-0.6759845,"POFUT2","protein O-fucosyltransferase 2","POFUT2"
"RPRD2","235415_at",0.1688326,0.0199,-2.57,-3.47301,-0.46540959,"RPRD2","regulation of nuclear pre-mRNA domain containing 2","RPRD2"
"RAMP2","205779_at",0.1688326,0.0199,2.57,-3.47307,0.56376635,"RAMP2","receptor activity modifying protein 2","RAMP2"
"EIF2AK2","213294_at",0.1688326,0.0199,2.57,-3.47315,0.55818803,"EIF2AK2","eukaryotic translation initiation factor 2 alpha kinase 2","EIF2AK2"
"BTN2A2","1564684_at",0.1688326,0.0199,2.57,-3.47351,0.58192186,"BTN2A2","butyrophilin subfamily 2 member A2","BTN2A2"
"UBE2Q1","231816_s_at",0.1688326,0.0199,-2.57,-3.47411,-0.94317088,"UBE2Q1","ubiquitin conjugating enzyme E2 Q1","UBE2Q1"
"LOC100507431","227009_at",0.1688326,0.0199,-2.57,-3.47414,-0.38094767,"LOC100507431","uncharacterized LOC100507431","LOC100507431"
"EIF5B","201025_at",0.1688326,0.0199,-2.57,-3.47421,-0.52625681,"EIF5B","eukaryotic translation initiation factor 5B","EIF5B"
"TM6SF1","219892_at",0.1690494,0.0199,2.57,-3.47566,0.56161604,"TM6SF1","transmembrane 6 superfamily member 1","TM6SF1"
"CD63","200663_at",0.1690587,0.0199,-2.57,-3.47585,-0.34930564,"CD63","CD63 molecule","CD63"
"PRB4","216881_x_at",0.1693729,0.02,2.57,-3.47824,0.63510598,"PRB4","proline rich protein BstNI subfamily 4","PRB4"
"MTHFD1","239846_at",0.1694742,0.02,2.57,-3.47909,0.73065193,"MTHFD1","methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1","MTHFD1"
"LOC100505851","1568647_at",0.1694742,0.02,2.57,-3.47921,0.77453834,"LOC100505851","uncharacterized LOC100505851","LOC100505851"
"TMEM70","219449_s_at",0.1695433,0.02,-2.57,-3.47972,-0.78177405,"TMEM70","transmembrane protein 70","TMEM70"
"ZNF639","222624_s_at",0.16958,0.02,-2.57,-3.4804,-0.56477914,"ZNF639","zinc finger protein 639","ZNF639"
"IL17RD","227997_at",0.16958,0.02,2.57,-3.48052,0.78082882,"IL17RD","interleukin 17 receptor D","IL17RD"
"CDH8","241500_at",0.16958,0.02,2.57,-3.48057,0.67564129,"CDH8","cadherin 8","CDH8"
